pm10,so2,co,o3,no2,categori
32,2,16,33,9,BAIK
27,2,19,20,9,BAIK
22,2,16,15,6,BAIK
25,2,17,15,8,BAIK
30,3,22,19,11,BAIK
41,4,24,27,13,BAIK
34,5,23,26,12,BAIK
45,4,33,9,17,BAIK
28,5,29,10,12,BAIK
38,6,28,15,10,BAIK
35,5,33,17,17,BAIK
44,4,28,22,14,BAIK
38,4,29,24,15,BAIK
40,3,43,23,23,BAIK
36,4,27,23,13,BAIK
35,3,30,20,14,BAIK
43,5,42,19,24,BAIK
47,8,32,19,12,BAIK
32,5,25,26,10,BAIK
41,7,30,17,13,BAIK
50,4,30,23,12,BAIK
46,5,31,42,17,BAIK
50,8,31,39,14,BAIK
47,5,27,26,14,BAIK
41,5,26,14,10,BAIK
37,4,43,17,17,BAIK
34,4,31,23,16,BAIK
45,5,33,27,15,BAIK
44,8,37,41,19,BAIK
43,6,42,39,20,BAIK
40,5,25,45,13,BAIK
50,8,30,25,15,BAIK
37,5,22,15,10,BAIK
50,2,34,27,25,BAIK
40,10,33,33,12,BAIK
45,10,31,21,11,BAIK
38,11,30,42,13,BAIK
38,10,26,28,12,BAIK
36,9,22,27,10,BAIK
49,15,23,28,9,BAIK
50,17,29,22,12,BAIK
49,13,31,29,11,BAIK
48,15,31,22,10,BAIK
50,16,21,25,10,BAIK
48,12,19,47,25,BAIK
43,16,33,28,6,BAIK
39,12,40,34,26,BAIK
44,17,36,29,14,BAIK
45,15,25,33,17,BAIK
49,19,33,36,15,BAIK
47,19,32,44,21,BAIK
38,11,32,29,11,BAIK
25,11,18,50,17,BAIK
28,12,26,42,11,BAIK
36,13,34,42,22,BAIK
36,12,28,21,14,BAIK
31,14,26,49,16,BAIK
49,14,25,34,11,BAIK
37,14,30,39,15,BAIK
41,14,30,30,18,BAIK
32,15,20,46,11,BAIK
49,15,46,43,23,BAIK
48,18,31,40,17,BAIK
48,17,25,46,15,BAIK
37,15,48,32,18,BAIK
39,12,30,36,14,BAIK
33,14,18,25,8,BAIK
31,13,27,26,9,BAIK
49,14,30,26,12,BAIK
36,13,21,25,11,BAIK
22,13,19,23,8,BAIK
32,15,28,43,14,BAIK
40,18,23,31,9,BAIK
43,16,32,49,14,BAIK
28,17,26,29,12,BAIK
41,21,30,30,14,BAIK
45,31,34,38,14,BAIK
49,24,32,29,13,BAIK
31,15,34,25,6,BAIK
25,14,24,24,9,BAIK
25,14,23,22,6,BAIK
25,14,19,20,8,BAIK
28,14,23,19,11,BAIK
30,16,23,20,8,BAIK
25,13,20,21,8,BAIK
27,13,19,30,10,BAIK
34,16,22,30,10,BAIK
50,19,34,30,14,BAIK
36,19,27,22,14,BAIK
38,20,20,23,7,BAIK
